Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
ARENTHON,74,L'aménagement de l'accès au cimetière (CD 19),622090,8000,AMOUDRY Jean-Paul,Sénat
ARENTHON,74,La réfection du mur d'enceinte du cimetière,22137,10000,CARLE Jean-Claude,Sénat
ARESSY,64,La réfection des chemins du Bois et du Lanot,19984,9990,BAYROU François,Assemblée nationale
ARFEUILLE-CHATAIN,23,La réfection de chemins ruraux,17333,5000,-,Réserve ministérielle
ARGANCHY,14,Travaux de renforcement de chaussée et d'aménagement pluvial,66951,7000,DUPONT Jean-Léonce,Sénat
ARGENTAT,19,"L'acquisition d'une fourgonnette pour le pôle ""infrastructures et cadre de vie""",25450,10000,LE MENN Jacky,Sénat
ARGENTEUIL,95,L'extension des locaux de la Maison pour tous,22226,5000,ASSOULINE David,Sénat
ARGENTIERES,77,La restauration et la conservation des fresques de l'église,93159,6000,GEOFFROY Guy,Assemblée nationale
ARGENTON-SUR-CREUSE,36,L'aménagement d'un bâtiment commun au sein de la résidence sénior Rollinat,333000,10000,SAPIN Michel,Assemblée nationale
ARGENVIERES,18,"La réfection de la voie communale n°5, rue Saint-Martin (1ère tranche)",58970,3000,COSYNS Louis,Assemblée nationale
ARGENVILLIERS,28,"La restauration des tableaux  ""Descente de croix"" et ""Vierge à l'enfant"" de l'église",13300,6650,ACCOYER Bernard,Assemblée nationale
ARGOEUVES,80,La construction d'un bâtiment destiné aux services techniques,63265,5000,DUBOIS Daniel,Sénat
ARLEBOSC,7,La réhabilitation de logements sociaux situés au 1er étage du bâtiment cadastré AC 68,171970,15000,HERVIAUX Odette,Sénat
ARLEMPDES,43,L'aménagement d'un gîte rural dans les anciens locaux de l'école de Coulombs,167178,5000,-,Réserve ministérielle
ARLES,13,"L'aménagement d'une salle à usage multiple au sein de la résidence Adoma, quartier de La Roquette",66890,10000,VAUZELLE Michel,Assemblée nationale
ARLEUF,58,L'aménagement d'une supérette,92208,6000,CARRERE Jean-Louis,Sénat
ARLEUX,59,La réhabilitation de l'école François Noël,240745,10000,LETARD Valérie,Sénat
ARMAUCOURT,54,Le réaménagement et la mise aux normes de sécurité de l'aire de jeux,24611,8000,NACHBAR Philippe,Sénat
ARMENTIERES-EN-BRIE,77,La réhabilitation et la mise aux normes de la salle polyvalente,132250,10000,BILLOUT Michel,Sénat
ARMES,58,Le déplacement du Monument aux morts aux abords de la salle des fêtes,9366,1000,SUEUR Jean-Pierre,Sénat
ARNE,65,"La réhabilitation du logement communal, situé rue Carrère de Devant",91000,8000,GLAVANY Jean,Assemblée nationale
ARNOS,64,La construction d'une salle communale,309600,5000,LASSERRE Jean-Jacques,Sénat
AROMAS,39,La restauration de la toiture de l'église,68178,6800,BAILLY Gérard,Sénat
ARPHEUILLES-SAINT-PRIEST,3,L'aménagement des abords de la mairie,146202,5000,LESTERLIN Bernard,Assemblée nationale
ARPHY,30,La construction d'un atelier communal,110000,5000,FOURNIER Jean-Paul,Sénat
ARQUENAY,53,La construction d'une salle polyvalente avec une cantine scolaire,824850,10000,ZOCCHETTO François,Sénat
ARQUES-LA-BATAILLE,76,"La mise aux normes des installations électriques du bâtiment administratif situé sur le site ""Regma""",63200,10000,FOUCAUD Thierry,Sénat
ARRAS-EN-LAVEDAN,65,La valorisation touristique des sentiers alentours,135224,2000,ROBIN-RODRIGO Chantal,Assemblée nationale
ARRAYE-ET-HAN,54,Le retrait et le traitement de plaques de plafonds en amiante dans les bâtiments agricoles situés rue du Château,22293,5000,NACHBAR Philippe,Sénat
ARRE,30,La réfection de la plomberie dans l'appartement situé au-dessus de la poste,5041,2520,FOURNIER Jean-Paul,Sénat
ARRELLES,10,"La réhabilitation de la maison située 19, Grande Rue en logement locatif",172624,4000,MATHIS Jean-Claude,Assemblée nationale
ARRIEN,64,La réhabilitation de la salle des fêtes,134124,10000,LASSERRE Jean-Jacques,Sénat
ARRONNES,3,L'acquisition d'un tracteur,21500,5000,DERIOT Gérard,Sénat
ARROU,28,L'installation d'un faux plafond acoustique à la cantine scolaire,6587,2000,VIGIER Philippe,Assemblée nationale
ARROU,28,L'étanchéité et l'isolation thermique de la salle des sports,90062,4503,CORNU Gérard,Sénat
ARROU,28,L'isolation acoustique et la mise aux normes électriques de la salle polyvalente,5758,2879,de MONTGOLFIER Albéric,Sénat
ARRY,57,"La réfection de la voirie, chemin d'Arry la Lobe",6230,3100,JACQUAT Denis,Assemblée nationale
ARRY,57,La pose d'une tenture à la salle des fêtes,2085,1042,MASSON Jean-Louis,Sénat
ARSAC-EN-VELAY,43,L'aménagement d'une aire de jeux entre la mairie et l'église,11979,4000,ROCHE Gérard,Sénat
ARSAGUE,40,La construction d'un local de rangement et d'une maison de la chasse,78300,10000,CARRERE Jean-Louis,Sénat
ARTAIX,71,Le transfert de la mairie dans l'ancienne cure,249453,5000,EMORINE Jean-Paul,Sénat
ARTANNES-SUR-THOUET,49,L'extension et la mise en accessibilité de la mairie,55000,7000,PLACE Jean-Vincent,Sénat
ARTEMPS,2,Le remplacement des fenêtres de l'école maternelle,10230,3069,BERTRAND Xavier,Assemblée nationale
ARTENAY,45,L'hygiénisation des boues de la station d'épuration,370153,30000,GROUARD Serge,Assemblée nationale
ARTHEMONAY,26,"La réfection des toitures de la salle communale et des logements, quartier Reculais",13631,1500,THORAVAL Marie-Hélène,Assemblée nationale
ARTHUN,42,La restructuration et la mise aux normes de l'école élémentaire,208240,10000,MARC François,Sénat
ARTIGUEMY,65,L'extension et l'aménagement du cimetière,74300,5000,FORGUES Pierre,Assemblée nationale
ARTRES,59,L'acquisition de chaises pour l'école de la Rhônelle,2107,1000,MARCHAND Marie-Claude,Assemblée nationale
ARTRES,59,L'aménagement de parkings,23040,8000,LETARD Valérie,Sénat
ARTZENHEIM,68,La construction d'un dépôt incendie et d'un local de stockage,654450,5000,LE MENN Jacky,Sénat
ARVEYRES,33,La construction d'un centre de loisirs,343790,20000,-,Réserve ministérielle
ARVILLARD,73,"La construction d'un nouvel espace commercial, place Saint-Roch",384434,50000,BOUVARD Michel,Assemblée nationale
ARZAL,56,L'aménagement des voies d'accès du bourg (tranche conditionnelle n°1),188963,34000,GOULARD François,Assemblée nationale
ARZENS,11,La construction d'un regroupement  médical,444337,18500,HERVIAUX Odette,Sénat
ASASP-ARROS,64,La restauration des façades des églises des bourgs d'Arros et d'Asasp,30402,10000,JEANNEROT Claude,Sénat
ASCHBACH,67,La construction d'une école maternelle,640359,25000,REISS Frédéric,Assemblée nationale
ASNAN,58,L'aménagement d'un site cinéraire,2576,1136,CARRERE Jean-Louis,Sénat
ASNIERES-EN-MONTAGNE,21,La réhabilitation de la mairie,261354,15000,REBSAMEN François,Sénat
ASNIERES-EN-MONTAGNE,21,La réhabilitation du logement locatif numéro 1,179775,7500,REBSAMEN François,Sénat
ASNIERES-EN-MONTAGNE,21,La réhabilitation du logement locatif numéro 2,162776,7500,REBSAMEN François,Sénat
ASNIERES-LES-DIJON,21,La construction d'une bibliothèque municipale,380000,20000,DEPIERRE Bernard,Assemblée nationale
ASNIERES-LES-DIJON,21,La réfection du mur du cimetière,9319,4000,HOUPERT Alain,Sénat
ASNIERES-SUR-SEINE,92,La rénovation du 1er étage du château,2767558,55000,PLACE Jean-Vincent,Sénat
ASNIERES-SUR-VEGRE,72,La construction d'une salle polyvalente,408116,200000,-,Réserve ministérielle
ASPREMONT,5,La réfection du pont de Hauteville et l'acquisition de mobilier,4900,2450,MARTINEZ Henriette,Assemblée nationale
ASQUE,65,La construction d'une réserve incendie au hameau du Couret d'Asque,40620,5000,FORTASSIN François,Sénat
ASSAT,64,L'aménagement d'une aire de jeux au centre bourg,35015,10000,BAYROU François,Assemblée nationale
ASSE-LE-BERENGER,53,La réfection des façades de l'école et de la cantine,14097,2500,GAROT Guillaume,Assemblée nationale
ASSENAY,10,La réfection de la voirie rue Garnière,81440,1000,ADNOT Philippe,Sénat
ASSENCIERES,10,La réfection des salles socio-culturelles du bâtiment communal situé au centre du village et l'aménagement des abords,63039,5000,DHUICQ Nicolas,Assemblée nationale
ASSERAC,44,Aménagements sécuritaires rue du Pont Bérin,64810,10000,-,Réserve ministérielle
ASSERAC,44,"La réalisation de photos de plein air sur le thème ""Les métiers d'Assérac"" destinées à une exposition puis à une installation définitive dans les bâtiments communaux",5037,1000,PLACE Jean-Vincent,Sénat
ASSIER,46,"L'assainissement des eaux pluviales, rue du Camping",21418,8000,LAUNAY Jean,Assemblée nationale
ASSIER,46,L'aménagement du hameau de Lavalade (tranche 1),138748,10000,REQUIER Jean-Claude,Sénat
ASSIEU,38,Le remplacement des menuiseries de l'école primaire,95914,10000,SAUGEY Bernard,Sénat
ASTAFFORT,47,La mise aux normes des sanitaires de la maison de la retraite,47660,3000,HERVIAUX Odette,Sénat
ASTAFFORT,47,La modernisation du camping municipal,92000,10000,TANDONNET Henri,Sénat
ATHEE,21,La réhabilitation du château pour y accueillir la mairie,485711,30000,DELATTE Rémi,Assemblée nationale
ATHEE,53,La restauration de la rosace nord de l'église,13976,5000,ZOCCHETTO François,Sénat
ATHESANS-ETROITEFONTAINE,70,L'acquisition de matériel et de mobilier pour la salle Jean Bosco,9690,2000,VILLAUME Jean-Michel,Assemblée nationale
ATHIENVILLE,54,La construction d'une station d'épuration,164800,7000,REINER Daniel,Sénat
ATHIES,62,"La rénovation de la résidence ""Les Oiseaux"" (1ère phase)",449895,12500,JEANNEROT Claude,Sénat
ATTENSCHWILLER,68,La construction d'un commerce de proximité,495549,30000,TROENDLE Catherine,Sénat
ATTIGNEVILLE,88,L'aménagement paysager du parvis de la salle polyvalente,56281,6000,PIERRE Jackie,Sénat
ATTIGNY,8,La mise aux normes d'accessibilité des sanitaires du camping,39548,7000,-,Réserve ministérielle
ATTILLY,2,Le remplacement des menuiseries extérieures du logement communal,6900,1380,BERTRAND Xavier,Assemblée nationale
AUBAZINE,19,L'aménagement d'un cheminement protégé entre l'école et le parking de La Charde,34560,3300,LE MENN Jacky,Sénat
AUBE,57,La remise en service de la cloche historique de l'église,3300,1650,ZIMMERMANN Marie-Jo,Assemblée nationale
AUBENCHEUL-AU-BAC,59,La mise aux normes de sécurité et d'économies d'énergie de l'éclairage public,52766,5000,VILLAIN François-Xavier,Assemblée nationale
AUBEPIERRE-OZOUER-LE-REPOS,77,L'aménagement et la mise aux normes de la salle polyvalente,105802,50000,-,Réserve ministérielle
AUBERGENVILLE,78,L'aménagement d'une aire de jeux au parc Nelly Rodi,50142,15000,LARCHER Gérard,Sénat
AUBERS,59,"La mise aux normes, l'extension et l'aménagement des abords de la mairie",1052297,30000,HUYGHE Sébastien,Assemblée nationale
AUBERVILLE-LA-CAMPAGNE,76,L'aménagement du nouveau cimetière,95000,22250,LECOQ Jean-Paul,Assemblée nationale
AUBERVILLE-LA-CAMPAGNE,76,L'aménagement de la traverse du village (RD 110),201979,25000,GELARD Patrice,Sénat
AUBIAC,33,La réfection de la toiture du bâtiment communal mairie-école,19264,6000,DES ESGAULX Marie-Hélène,Sénat
AUBIAT,63,La restructuration de l'école de Chazelles,402510,10000,ASSOULINE David,Sénat
AUBIET,32,L'extension du groupe scolaire,692000,10000,ZOCCHETTO François,Sénat
AUBIGNAN,84,L'acquisition d'un véhicule pour la police municipale,9855,4900,FERRAND Jean-Michel,Assemblée nationale
AUBIGNE,35,La restauration de l'église Notre-Dame,622330,30000,TOURTELIER Philippe,Assemblée nationale
AUBIGNY,14,"L'effacement des réseaux, rue de l'Eglise et sente des Ecoles",72022,8000,DUPONT Ambroise,Sénat
AUBIGNY-AU-BAC,59,L'aménagement de la salle de réunion et d'un bureau au 1er étage de la mairie,35779,10000,DEMESSINE Michelle,Sénat
AUBIGNY-LES-POTHEES,8,L'alimentation en eau potable du carmel et de la ferme de la Fontaine Olive,430144,7000,HURE Benoît,Sénat
AUBIGNY-LES-SOMBERNON,21,La réfection du mur d'enceinte de la salle des fêtes,17925,5000,-,Réserve ministérielle
AUBIGNY-SUR-NERE,18,L'équipement scénique de la salle de spectacle de La Forge,48080,23500,FROMION Yves,Assemblée nationale
AUBIGNY-SUR-NERE,18,La construction d'un manège équestre sur l'hippodrome de Belle Colombe,950480,20000,FROMION Yves,Assemblée nationale
AUBIGNY-SUR-NERE,18,L'acquisition du bâtiment situé dans la cour du château de l'EHPAD des Augustins en vue de la création d'une salle du conseil municipal,200000,35000,FROMION Yves,Assemblée nationale
AUBIN-SAINT-VAAST,62,"L'aménagement et la mise aux normes et en accessibilité d'une nouvelle mairie au rez-de-chaussée de la Ferme ""des Consorts Mariette""",294181,2000,FASQUELLE Daniel,Assemblée nationale
AUBONCOURT-VAUZELLES,8,"La mise en sécurité du virage situé aux abords du lavoir, route départementale n°14 à Vauzelles",4545,1700,POLETTI Bérengère,Assemblée nationale
AUBONCOURT-VAUZELLES,8,Le remplacement de la porte d'entrée de l'église,4477,2000,HURE Benoît,Sénat
AUBORD,30,L'aménagement et la sécurisation de l'avenue des Cévennes,247000,10000,MOURRUT Etienne,Assemblée nationale
AUBUSSARGUES,30,L'aménagement de l'entrée du village,19000,5000,FOURNIER Jean-Paul,Sénat
AUCALEUC,22,La restructuration du pôle scolaire (travaux et aménagements complémentaires),24235,8000,GAUBERT Jean,Assemblée nationale
AUCAMVILLE,31,La réhabilitation d'un logement en logement d'urgence,59460,8000,IMBERT Françoise,Assemblée nationale
AUCEY-LA-PLAINE,50,L'aménagement d'un réseau d'assainissement et d'une station d'épuration,855357,15000,HUET Guenhaël,Assemblée nationale
AUDAUX,64,L'édification d'un columbarium et l'aménagement d'un jardin du souvenir,4180,2000,LASSALLE Jean,Assemblée nationale
AUDAUX,64,L'aménagement de la rue de la Houn,25970,5000,LASSERRE Jean-Jacques,Sénat
AUDIERNE,29,La réhabilitation de l'ancien bâtiment des affaires maritimes en salle multi-activités et locaux associatifs,791142,6500,LE LOCH Annick,Assemblée nationale
AUDUN-LE-TICHE,57,Le remplacement de menuiseries sur divers bâtiments communaux,88460,7500,LIEBGOTT Michel,Assemblée nationale
AUGE,79,La construction d'une salle multiactivités,992680,10000,DULAIT André,Sénat
AUGNAT,63,L'extension de l'espace culturel,138600,20000,GISCARD d'ESTAING Louis,Assemblée nationale
AUGNY,57,L'acquisition d'un élévateur télescopique,23500,11700,JACQUAT Denis,Assemblée nationale
AULNAY-DE-SAINTONGE,17,L'aménagement du Jardin Mayet dans le cadre du réaménagement du centre urbain (tranche n°1),503989,4000,QUERE Catherine,Assemblée nationale
AULNOIS-SUR-SEILLE,57,"Aménagements de sécurité, rue Clément Coué",92979,8000,MARTY Alain,Assemblée nationale
AULNOIS-SUR-SEILLE,57,"Le renforcement de l'éclairage public, rue du Château",21710,4000,LE MENN Jacky,Sénat
AULNOIS-SUR-SEILLE,57,L'édification d'un columbarium,3790,1895,MASSON Jean-Louis,Sénat
AULNOYE-AYMERIES,59,La réhabilitation et la mise aux normes d'accessibilité de la salle de sports Marc Joly,2050000,33400,DEMESSINE Michelle,Sénat
AULNOY-LEZ-VALENCIENNES,59,L'aménagement paysager de l'Avenue de la Libération dans le cadre d'une démarche de gestion différenciée,306386,35000,PLACE Jean-Vincent,Sénat
AULON,65,La réhabilitation du rez-de-chaussée de l'ancien presbytère en logement communal adapté aux personnes à mobilité réduite,35387,3500,FORGUES Pierre,Assemblée nationale
AULON,23,La réfection des façades de la mairie et le remplacement d'une fenêtre,19436,9000,CARTRON Françoise,Sénat
AULT,80,L'installation des sanitaires publics,111997,10000,DUBOIS Daniel,Sénat
AUMALE,76,L'aménagement d'une aire de jeux aux abords de la piscine,95735,25000,LEJEUNE Michel,Assemblée nationale
AUMETZ,57,L'aménagement scénique de la salle polyvalente située rue Saint-Léger de Montbrillais,24403,6000,LIEBGOTT Michel,Assemblée nationale
AUMETZ,57,La construction de cellules de stockage à l'atelier municipal,7700,3000,BRICQ Nicole,Sénat
AUMONT,39,La construction d'une station d'épuration et l'assainissement des réseaux,1367028,15000,PELISSARD Jacques,Assemblée nationale
AUMONTZEY,88,Travaux de sécurisation de l'accès piétonnier le long de la RD 423 (2ème tranche),143988,10000,CHERPION Gérard,Assemblée nationale
AUNAY-SOUS-AUNEAU,28,L'acquisition d'équipements de cuisine pour le restaurant scolaire,25940,10000,de MONTGOLFIER Albéric,Sénat
AUNAY-SUR-ODON,14,L'aménagement d'une aire de stationnement pour les poids lourds,185000,9000,COUSIN Jean-Yves,Assemblée nationale
AUNAY-SUR-ODON,14,La mise en accessibilité de l'école élémentaire,190484,15000,COUSIN Jean-Yves,Assemblée nationale
AUQUAINVILLE,14,"La restauration du maître-autel, des autels latéraux et des chandeliers en bois de l'église Saint-Aubin",14587,1520,LETEURTRE Claude,Assemblée nationale
AURAY,56,Le renouvellement urbain du quartier du Gumenen Goaner (programme 2012),212865,15000,LE SCOUARNEC Michel,Sénat
AUREILHAN,65,L'aménagement de la toiture du local de la Cavalcade,15000,7000,GLAVANY Jean,Assemblée nationale
AUREILHAN,65,L'extension et la mise en sécurité du parking Blanche Odin,48460,10000,GLAVANY Jean,Assemblée nationale
AURENSAN,32,La rénovation des façades du foyer communal et la réfection de l'avancement du toit,17414,7713,-,Réserve ministérielle
AURIAT,23,L'extension et la réhabilitation de la salle de réunion à vocation culturelle ou associative,67090,20000,-,Réserve ministérielle
AURIBEAU-SUR-SIAGNE,6,"La réfection de la toiture du centre de loisirs du Bayle dit ""OMFAF""",83774,41886,TABAROT Michèle,Assemblée nationale
AURICE,40,La réhabilitation et l'extension des écoles (2ème tranche),314781,15000,EMMANUELLI Henri,Assemblée nationale
AURICE,40,La restauration de l'église de Lagastet (phase 2),33280,10000,CARRERE Jean-Louis,Sénat
