Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
ALLERIOT,L'assainissement du hameau de Montaguière,348078,5000,EMORINE Jean-Paul,Sénat,"0,0143645964",71,UMP,http://nossenateurs.fr/EMORINE%20Jean-Paul/xml
ALLERY,La construction d'une cantine au groupe scolaire,215859,10000,BIGNON Jérôme,Assemblée nationale,"0,0463265372",80,UMP,http://2007.nosdeputes.fr/BIGNON%20Jérôme/xml
ALLEX,L'installation d'un sanitaire public,37992,6000,MARITON Hervé,Assemblée nationale,"0,1579279848",26,UMP,http://2007.nosdeputes.fr/MARITON%20Hervé/xml
ALLIBAUDIERES,"L'aménagement de voirie et de trottoirs, route de Champigny",177800,6000,DHUICQ Nicolas,Assemblée nationale,"0,0337457818",10,UMP,http://2007.nosdeputes.fr/DHUICQ%20Nicolas/xml
ALLOGNY,"L'aménagement des routes d'Henrichemont et de Vierzon, de la rue du parc et d'une placette",176980,12000,FROMION Yves,Assemblée nationale,"0,0678042717",18,UMP,http://2007.nosdeputes.fr/FROMION%20Yves/xml
ALLONDANS,"La réfection et l'aménagement du local de stockage, rue des Combes",42200,10000,HERVIAUX Odette,Sénat,"0,2369668246",25,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
ALLONNES,La mise aux normes et la réhabilitation d'un bâtiment communal en maison des jeunes,335000,19400,TAUGOURDEAU Jean-Charles,Assemblée nationale,"0,0579104478",49,UMP,http://2007.nosdeputes.fr/TAUGOURDEAU%20Jean-Charles/xml
ALLONS,Le regroupement de la mairie et de l'agence postale,137955,13000,DIEFENBACHER Michel,Assemblée nationale,"0,0942336269",47,UMP,http://2007.nosdeputes.fr/DIEFENBACHER%20Michel/xml
ALLONZIER-LA-CAILLE,L'aménagement d'une bibliothèque municipale,203479,50000,ACCOYER Bernard,Assemblée nationale,"0,2457256031",74,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ALLOUAGNE,La rénovation et la mise aux normes de la salle des fêtes,85600,30000,0,Réserve ministérielle,"0,3504672897",62,,
ALLOUE,L'extension et la mise aux normes de la cuisine de la salle polyvalente,119244,10000,SUEUR Jean-Pierre,Sénat,"0,0838616618",16,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
ALLOUIS,"L'aménagement et l'équipement du local ""Café des Sports""",118951,8000,PILLET François,Sénat,"0,0672545838",18,UMP,http://nossenateurs.fr/PILLET%20François/xml
ALMENECHES,La restauration de l'Abbatiale Sainte-Opportune (2ème tranche),221005,20000,BASSOT Sylvia,Assemblée nationale,"0,0904956901",61,UMP,http://2007.nosdeputes.fr/BASSOT%20Sylvia/xml
ALSTING,L'aménagement d'un terrain de football synthétique,581612,6000,GROSDIDIER François,Sénat,"0,0103161558",57,UMP,http://nossenateurs.fr/GROSDIDIER%20François/xml
ALUZE,La restauration du clocher,48000,9000,ANCIAUX Jean-Paul,Assemblée nationale,"0,1875",71,UMP,http://2007.nosdeputes.fr/ANCIAUX%20Jean-Paul/xml
AMAGNE,L'édification d'un columbarium,6036,2000,POLETTI Bérengère,Assemblée nationale,"0,3313452618",8,UMP,http://2007.nosdeputes.fr/POLETTI%20Bérengère/xml
AMAGNE,L'acquisition de panneaux de signalisation routière,1932,966,LAMENIE Marc,Sénat,"0,5",8,,http://nossenateurs.fr/LAMENIE%20Marc/xml
