Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
AMBRONAY,"La construction d'une école primaire et d'un restaurant scolaire au lieu-dit ""La Laupinière""",2502410,20000,CARRERE Jean-Louis,Sénat,"0,0079922954",1,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
AMECOURT,La mise aux normes de l'installation électrique de l'église Saint-Hilaire,17185,5000,BOURDIN Joël,Sénat,"0,2909514111",27,UMP,http://nossenateurs.fr/BOURDIN%20Joël/xml
AMEUGNY,L'élaboration d'un Plan Local d'Urbanisme,23934,3000,EMORINE Jean-Paul,Sénat,"0,1253446979",71,UMP,http://nossenateurs.fr/EMORINE%20Jean-Paul/xml
AMFREVILLE,La construction de vestiaires et d'une tribune au complexe sportif,525000,20000,AMELINE Nicole,Assemblée nationale,"0,0380952381",14,UMP,http://2007.nosdeputes.fr/AMELINE%20Nicole/xml
AMFREVILLE-LA-CAMPAGNE,L'édification d'un columbarium et l'aménagement d'un jardin du souvenir,12083,2000,PONIATOWSKI Ladislas,Sénat,"0,1655218075",27,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
AMFREVILLE-SUR-ITON,"L'amélioration de l'éclairage public, rue des Bouvreuils",993,496,PONIATOWSKI Ladislas,Sénat,"0,4994964753",27,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
AMIRAT,L'installation d'un extracteur d'air et de chauffages à l'église Sainte-Anne,5599,2799,TABAROT Michèle,Assemblée nationale,"0,4999106983",6,UMP,http://2007.nosdeputes.fr/TABAROT%20Michèle/xml
AMPONVILLE,"La mise en conformité de l'éclairage de ""la petite ruelle""",4598,2299,JULIA Didier,Assemblée nationale,"0,5",77,UMP,http://2007.nosdeputes.fr/JULIA%20Didier/xml
ANCEMONT,"L'aménagement d'une aire de jeux au lieu-dit ""La Ruelle""",39240,5000,NAMY Christian,Sénat,"0,127420999",55,UDI,http://nossenateurs.fr/NAMY%20Christian/xml
ANCERVILLER,La réfection de la toiture du bâtiment mairie-école et de la salle des Pompes,30404,4000,NACHBAR Philippe,Sénat,"0,1315616366",54,UMP,http://nossenateurs.fr/NACHBAR%20Philippe/xml
ANCEY,"La réfection de la voirie, rue de la Gare et ruelle des Coins",15060,7000,CARTRON Françoise,Sénat,"0,4648074369",21,SOC,http://nossenateurs.fr/CARTRON%20Françoise/xml
ANCOURTEVILLE-SUR-HERICOURT,L'aménagement d'un plateau sportif et d'un espace de loisirs,45322,20000,0,Réserve ministérielle,"0,4412867923",76,,
ANCOURTEVILLE-SUR-HERICOURT,La réfection de la cour de l'école,11966,1500,REVET Charles,Sénat,"0,125355173",76,UMP,http://nossenateurs.fr/REVET%20Charles/xml
ANCOURTEVILLE-SUR-HERICOURT,La restauration du beffroi de l'église et l'électrification de la cloche,13163,4000,REVET Charles,Sénat,"0,3038820937",76,UMP,http://nossenateurs.fr/REVET%20Charles/xml
ANCY-SUR-MOSELLE,La réfection du parvis de l'église,6975,2000,MASSON Jean-Louis,Sénat,"0,2867383513",57,,http://nossenateurs.fr/MASSON%20Jean-Louis/xml
ANDAINVILLE,"Le remplacement d'un poteau d'incendie, la remise en état des cloches de l'église et d'un terrain, l'amélioration de l'éclairage public et le désamiantage des bâtiments communaux",27838,7000,ACCOYER Bernard,Assemblée nationale,"0,2514548459",80,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ANDANCETTE,L'extension et la requalification de l'école élémentaire et la réhabilitation de bâtiments en bibliothéque et salle de réunion,1343317,3000,THORAVAL Marie-Hélène,Assemblée nationale,"0,0022332778",26,UMP,http://2007.nosdeputes.fr/THORAVAL%20Marie-Hélène/xml
ANDEL,La construction de vestiaires et d'un garage pour les services techniques,116750,10000,LE FUR Marc,Assemblée nationale,"0,0856531049",22,UMP,http://2007.nosdeputes.fr/LE%20FUR%20Marc/xml
ANDILLY,La prolongation de la rue des Commailles,178528,40000,SCELLIER François,Assemblée nationale,"0,2240544901",95,UMP,http://2007.nosdeputes.fr/SCELLIER%20François/xml
ANDILLY,L'aménagement de la nouvelle mairie dans les locaux de l'école,79740,30000,0,Réserve ministérielle,"0,3762227239",54,,
ANDILLY,L'aménagement d'une station d'épuration pour le parc de loisirs des Moulins,51213,5000,HERISSON Pierre,Sénat,"0,0976314608",74,UMP,http://nossenateurs.fr/HERISSON%20Pierre/xml
ANDLAU,"L'aménagement des places de la mairie, de l'école et de la rue du Docteur Stoltz",706953,2100,KELLER Fabienne,Sénat,"0,0029704945",67,UMP,http://nossenateurs.fr/KELLER%20Fabienne/xml
ANDOINS,La restructuration de la voirie (programme 2012),89556,10000,BAYROU François,Assemblée nationale,"0,1116619769",64,NI,http://2007.nosdeputes.fr/BAYROU%20François/xml
ANDREZIEUX-BOUTHEON,L'acquisition d'une armoire sécurisée et d'une armoire anti-feu pour le pôle des solidarités des 4 Epis,3794,1500,MARC François,Sénat,"0,3953610965",42,SOC,http://nossenateurs.fr/MARC%20François/xml
ANDUZE,La mise aux normes de l'espace Marcel Pagnol,20450,7000,DUMAS William,Assemblée nationale,"0,3422982885",30,SRC,http://2007.nosdeputes.fr/DUMAS%20William/xml
ANDUZE,La réfection du chemin Saint Hippolyte,16250,5000,FOURNIER Jean-Paul,Sénat,"0,3076923077",30,UMP,http://nossenateurs.fr/FOURNIER%20Jean-Paul/xml
ANDUZE,L'acquisition d'un aspirateur écologique de voirie,14561,5000,MICHEL Jean-Pierre,Sénat,"0,3433830094",30,SOC,http://nossenateurs.fr/MICHEL%20Jean-Pierre/xml
ANET,"L'acquisition de l'immeuble ""La Poste"" en vue d'y aménager un équipement touristique",360000,100000,ACCOYER Bernard,Assemblée nationale,"0,2777777778",28,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ANGEAC-CHAMPAGNE,L'aménagement de la traversée de Roissac (1ère tranche),268285,12000,REYNAUD Marie-Line,Assemblée nationale,"0,0447285536",16,SRC,http://2007.nosdeputes.fr/REYNAUD%20Marie-Line/xml
ANGECOURT,La réfection de la toiture de la salle Henri Philippe,4108,1000,LAMENIE Marc,Sénat,"0,2434274586",8,,http://nossenateurs.fr/LAMENIE%20Marc/xml
ANGEOT,La réhabilitation du bâtiment mairie-école,61854,10000,CHEVENEMENT Jean-Pierre,Sénat,"0,1616710318",90,RDSE,http://nossenateurs.fr/CHEVENEMENT%20Jean-Pierre/xml
ANGERS,La restructuration et l'extension des installations de la base d'aviron (tranche ferme),1215482,65211,RAOUL Daniel,Sénat,"0,0536503214",49,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
ANGERVILLE-L'ORCHER,L'installation d'un système de vidéo-surveillance sur le stade de football,4000,2000,REVET Charles,Sénat,"0,5",76,UMP,http://nossenateurs.fr/REVET%20Charles/xml
ANGEVILLE,L'aménagement et l'embellissement du centre bourg,164874,5000,COLLIN Yvon,Sénat,"0,0303261885",82,RDSE,http://nossenateurs.fr/COLLIN%20Yvon/xml
ANGLARDS-DE-SAINT-FLOUR,L'édification d'un columbarium,3790,1500,MEZARD Jacques,Sénat,"0,3957783641",15,RDSE,http://nossenateurs.fr/MEZARD%20Jacques/xml
ANGLARDS-DE-SALERS,L'acquisition d'un véhicule utilitaire pour les services techniques,11706,3000,MEZARD Jacques,Sénat,"0,2562788314",15,RDSE,http://nossenateurs.fr/MEZARD%20Jacques/xml
ANGLEFORT,L'acquisition d'un camion pour les sapeurs pompiers,54350,9000,REINER Daniel,Sénat,"0,1655933763",1,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
ANGLES,La mise aux normes de sécurité et d'accessibilité du théâtre municipal et des travaux d'économies d'énergie,962013,15000,CAILLAUD Dominique,Assemblée nationale,"0,0155923049",85,UMP,http://2007.nosdeputes.fr/CAILLAUD%20Dominique/xml
ANGLURE,L'extension de la salle communale,176900,7000,de COURSON Charles,Assemblée nationale,"0,0395703787",51,NC,http://2007.nosdeputes.fr/de%20COURSON%20Charles/xml
ANGOS,L'aménagement des abords de la mairie,14401,4000,FORTASSIN François,Sénat,"0,277758489",65,RDSE,http://nossenateurs.fr/FORTASSIN%20François/xml
ANGUERNY,La restauration des communs de la Grange aux Dîmes,347500,8000,DUPONT Jean-Léonce,Sénat,"0,0230215827",14,UDI,http://nossenateurs.fr/DUPONT%20Jean-Léonce/xml
ANHIERS,La rénovation de la salle des fêtes à usage de cantine scolaire et l'extension de la cuisine,291029,30875,CANDELIER Jean-Jacques,Assemblée nationale,"0,1060890839",59,GDR,http://2007.nosdeputes.fr/CANDELIER%20Jean-Jacques/xml
ANJOU,L'extension du groupe scolaire,630000,10000,SAUGEY Bernard,Sénat,"0,0158730159",38,UMP,http://nossenateurs.fr/SAUGEY%20Bernard/xml
ANLA,Le remplacement de la borne incendie du quartier de l'église,2965,1420,FORTASSIN François,Sénat,"0,478920742",65,RDSE,http://nossenateurs.fr/FORTASSIN%20François/xml
ANNAY-SOUS-LENS,L'aménagement d'une aire de jeux à l'entrée de l'école Péri-Curie,7792,2500,DELCOURT Guy,Assemblée nationale,"0,3208418891",62,SRC,http://2007.nosdeputes.fr/DELCOURT%20Guy/xml
ANNECY-LE-VIEUX,La couverture de courts de tennis du complexe sportif d'Albigny,668000,100000,ACCOYER Bernard,Assemblée nationale,"0,1497005988",74,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ANNECY-LE-VIEUX,La réhabilitation de la cantine du groupe scolaire des Pommaries,500000,50000,ACCOYER Bernard,Assemblée nationale,"0,1",74,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ANNECY-LE-VIEUX,Travaux de revêtement bitumineux (programme 2012),274000,80000,ACCOYER Bernard,Assemblée nationale,"0,2919708029",74,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ANNECY-LE-VIEUX,"Le prolongement de la promenade Lacustre, avenue de Chavoires",1003000,100000,ACCOYER Bernard,Assemblée nationale,"0,0997008973",74,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ANNECY-LE-VIEUX,La mise en accessibilité des bâtiments et des espaces publics (programme 2012),268000,50000,ACCOYER Bernard,Assemblée nationale,"0,1865671642",74,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ANNESSE-ET-BEAULIEU,La restauration des façades des églises,23266,3000,DEGUILHEM Pascal,Assemblée nationale,"0,1289435227",24,SRC,http://2007.nosdeputes.fr/DEGUILHEM%20Pascal/xml
ANNET-SUR-MARNE,La construction d'un logis de la compagnie d'Arc,115256,25000,ALBARELLO Yves,Assemblée nationale,"0,2169084473",77,UMP,http://2007.nosdeputes.fr/ALBARELLO%20Yves/xml
ANNET-SUR-MARNE,La construction d'un local pour la pétanque et les jeux de boules,99414,7000,HOUEL Michel,Sénat,"0,0704126179",77,UMP,http://nossenateurs.fr/HOUEL%20Michel/xml
ANNEYRON,L'extension du gymnase,130000,2500,THORAVAL Marie-Hélène,Assemblée nationale,"0,0192307692",26,UMP,http://2007.nosdeputes.fr/THORAVAL%20Marie-Hélène/xml
ANNOISIN-CHATELANS,La restauration de l'église Notre-Dame,216835,10000,SAUGEY Bernard,Sénat,"0,046118016",38,UMP,http://nossenateurs.fr/SAUGEY%20Bernard/xml
ANNONVILLE,L'extension des réseaux d'électricité et de télécommunication en vue d'alimenter un pavillon à l'extrémité du village,7120,3000,SIDO Bruno,Sénat,"0,4213483146",52,UMP,http://nossenateurs.fr/SIDO%20Bruno/xml
ANNONVILLE,L'aménagement du cimetière,7000,2000,SIDO Bruno,Sénat,"0,2857142857",52,UMP,http://nossenateurs.fr/SIDO%20Bruno/xml
ANOR,L'acquisition de matériel informatique,3160,1500,PERAT Jean-Luc,Assemblée nationale,"0,4746835443",59,SRC,http://2007.nosdeputes.fr/PERAT%20Jean-Luc/xml
ANOULD,Travaux d'amélioration de la qualité de l'eau sur le réseau de Develines,500000,20000,CHERPION Gérard,Assemblée nationale,"0,04",88,UMP,http://2007.nosdeputes.fr/CHERPION%20Gérard/xml
ANQUETIERVILLE,La mise en sécurité du centre bourg aux abords de l'école,141950,10000,REVET Charles,Sénat,"0,0704473406",76,UMP,http://nossenateurs.fr/REVET%20Charles/xml
ANSAC-SUR-VIENNE,L'aménagement d'un espace de loisirs et de sports au stade municipal,125311,8000,CARRERE Jean-Louis,Sénat,"0,0638411632",16,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
ANTAGNAC,L'aménagement et la sécurisation du village,30337,5000,HERVIAUX Odette,Sénat,"0,1648152421",47,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
ANTHE,L'extension et l'aménagement de la salle des fêtes,260000,12000,CAHUZAC Jérôme,Assemblée nationale,"0,0461538462",47,SRC,http://2007.nosdeputes.fr/CAHUZAC%20Jérôme/xml
ANTIBES,Le transfert de la pépinière municipale (2ème tranche),447324,200000,0,Réserve ministérielle,"0,4471032182",6,,
ANTILLY,L'aménagement de la place et de la traversée du village,243054,10000,ZIMMERMANN Marie-Jo,Assemblée nationale,"0,0411431205",57,UMP,http://2007.nosdeputes.fr/ZIMMERMANN%20Marie-Jo/xml
ANZEME,L'aménagement des abords de la salle polyvalente,21990,9000,VERGNIER Michel,Assemblée nationale,"0,4092769441",23,SRC,http://2007.nosdeputes.fr/VERGNIER%20Michel/xml
ANZEME,L'équipement de la salle polyvalente,21502,10000,CARTRON Françoise,Sénat,"0,4650730165",23,SOC,http://nossenateurs.fr/CARTRON%20Françoise/xml
ANZEX,"La rénovation, l'extension et la mise aux normes d'accessibilité de la salle des fêtes et de la mairie",129500,10000,DIEFENBACHER Michel,Assemblée nationale,"0,0772200772",47,UMP,http://2007.nosdeputes.fr/DIEFENBACHER%20Michel/xml
AOUZE,"L'aménagement de trottoirs, Grande Rue",79554,3000,GAULTIER Jean-Jacques,Assemblée nationale,"0,0377102346",88,UMP,http://2007.nosdeputes.fr/GAULTIER%20Jean-Jacques/xml
APATOU,La mise en sécurité des accès de la salle 11 et des sanitaires secondaires de l'école Lambert Amayota,22497,10000,ASSOULINE David,Sénat,"0,4445037116",973,SOC,http://nossenateurs.fr/ASSOULINE%20David/xml
APPRIEU,L'aménagement d'un point lecture-bibliothèque dans l'ancienne caserne des pompiers,201336,10000,SAUGEY Bernard,Sénat,"0,0496682163",38,UMP,http://nossenateurs.fr/SAUGEY%20Bernard/xml
APREMONT-SUR-AIRE,"La modification de l'entrée principale du logement communal situé 1, Grande Rue",6766,3382,LAMENIE Marc,Sénat,"0,4998522022",8,,http://nossenateurs.fr/LAMENIE%20Marc/xml
APREMONT-SUR-ALLIER,La réfection de l'éclairage public,13750,1379,COSYNS Louis,Assemblée nationale,"0,1002909091",18,UMP,http://2007.nosdeputes.fr/COSYNS%20Louis/xml
APREMONT-SUR-ALLIER,Une étude de zonage d'assainissement,2740,1000,COSYNS Louis,Assemblée nationale,"0,3649635036",18,UMP,http://2007.nosdeputes.fr/COSYNS%20Louis/xml
ARACHES-LA-FRASSE,La rénovation des sanitaires de l'ancienne école de La Frasse,32609,5000,SADDIER Martial,Assemblée nationale,"0,1533319022",74,UMP,http://2007.nosdeputes.fr/SADDIER%20Martial/xml
ARAMON,Travaux de sécurisation et l'aménagement de la voirie à la sortie de l'école primaire François Rabelais,52544,5000,MICHEL Jean-Pierre,Sénat,"0,0951583435",30,SOC,http://nossenateurs.fr/MICHEL%20Jean-Pierre/xml
ARANC,L'acquisition d'un défibrillateur cardiaque automatique,1531,765,GOY-CHAVENT Sylvie,Sénat,"0,4996734161",1,UDI,http://nossenateurs.fr/GOY-CHAVENT%20Sylvie/xml
ARANC,L'aménagement d'une ancienne salle de réunion de la mairie en restaurant scolaire,33023,7000,REINER Daniel,Sénat,"0,211973473",1,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
ARAULES,L'assainissement du village de Montbuzat,112713,15000,0,Réserve ministérielle,"0,1330813659",43,,
ARBECEY,L'installation de radars pédagogiques aux entrées du village et la mise en place d'un passage piéton avant le nouvel abribus,9506,3000,MARC François,Sénat,"0,3155901536",70,SOC,http://nossenateurs.fr/MARC%20François/xml
ARBOIS,La mise en accessibilité des caves de l'Hôtel de Ville,14040,3000,SERMIER Jean-Marie,Assemblée nationale,"0,2136752137",39,UMP,http://2007.nosdeputes.fr/SERMIER%20Jean-Marie/xml
ARBOIS,La réfection de la rue Chauvin,30579,10000,SERMIER Jean-Marie,Assemblée nationale,"0,3270218124",39,UMP,http://2007.nosdeputes.fr/SERMIER%20Jean-Marie/xml
ARBOIS,La restauration des tableaux et la peinture des salles du musée d'art,9697,1800,BAILLY Gérard,Sénat,"0,1856244199",39,UMP,http://nossenateurs.fr/BAILLY%20Gérard/xml
ARBONNE,La réhabilitation d'un bâtiment communal en salle polyvalente,96930,17595,JEANNEROT Claude,Sénat,"0,1815227484",64,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
ARBOUANS,Le remplacement des menuiseries de la salle polyvalente,43328,4000,HUMBERT Jean-François,Sénat,"0,0923190547",25,UMP,http://nossenateurs.fr/HUMBERT%20Jean-François/xml
ARBRISSEL,"L'effacement des réseaux, route de Visseiche (RD310)",14416,7000,de LEGGE Dominique,Sénat,"0,4855715871",35,UMP,http://nossenateurs.fr/de%20LEGGE%20Dominique/xml
ARBUS,La restauration intérieure de l'église,223652,2000,LIGNIERES-CASSOU Martine,Assemblée nationale,"0,0089424642",64,SRC,http://2007.nosdeputes.fr/LIGNIERES-CASSOU%20Martine/xml
ARCAY,La construction de vestiaires sportifs,93191,10000,POINTEREAU Rémy,Sénat,"0,1073064996",18,UMP,http://nossenateurs.fr/POINTEREAU%20Rémy/xml
ARCEY,L'extension de l'école primaire,370982,10000,HERVIAUX Odette,Sénat,"0,0269554857",25,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
ARCHAMPS,L'acquisition de mobilier pour l'auberge communale,63486,15000,CARLE Jean-Claude,Sénat,"0,236272564",74,UMP,http://nossenateurs.fr/CARLE%20Jean-Claude/xml
ARCHIGNY,Le remplacement du mobilier de la cantine scolaire,4563,2281,FOUCHE Alain,Sénat,"0,499890423",86,UMP,http://nossenateurs.fr/FOUCHE%20Alain/xml
ARCINS-EN-MEDOC,L'enfouissement des réseaux de télécommunications et d'éclairage public (tranche 3),72945,10000,PINTAT Xavier,Sénat,"0,137089588",33,UMP,http://nossenateurs.fr/PINTAT%20Xavier/xml
ARCON,L'acquisition de divers équipements pour l'accueil péri et extra-scolaire,9101,2758,GENEVARD Annie,Assemblée nationale,"0,3030436216",25,,http://2007.nosdeputes.fr/GENEVARD%20Annie/xml
ARCON,L'aménagement de la voie communale n° 101,48721,5000,NICOLIN Yves,Assemblée nationale,"0,1026251514",42,UMP,http://2007.nosdeputes.fr/NICOLIN%20Yves/xml
ARCONCEY,La rénovation de logements communaux situés au 1er étage de la mairie et de l'école,227011,15000,SUGUENOT Alain,Assemblée nationale,"0,0660760932",21,UMP,http://2007.nosdeputes.fr/SUGUENOT%20Alain/xml
ARCONCEY,La réfection de la voirie (programme 2012) rues de Proleux et de la Forge et chemins des Ponts et de la Colombière,69035,2000,HOUPERT Alain,Sénat,"0,0289708119",21,UMP,http://nossenateurs.fr/HOUPERT%20Alain/xml
ARC-SUR-TILLE,La restauration de l'église Saint-Martin (1ère tranche),362070,50000,0,Réserve ministérielle,"0,1380948435",21,,
ARCUEIL,L'extension de la crèche multi-accueil Marie-Claude Vaillant Couturier,72320,35000,LE BOUILLONNEC Jean-Yves,Assemblée nationale,"0,483960177",94,SRC,http://2007.nosdeputes.fr/LE%20BOUILLONNEC%20Jean-Yves/xml
ARCUEIL,La numérisation de la radiologie du centre municipal de santé Maï Politzer,498334,10000,LE MENN Jacky,Sénat,"0,0200668628",94,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
ARCUEIL,L'amélioration du confort thermique de la médiathèque Louis Pergaud,83600,35000,PLACE Jean-Vincent,Sénat,"0,4186602871",94,ECO,http://nossenateurs.fr/PLACE%20Jean-Vincent/xml
ARDENTES,L'acquisition d'un véhicule utilitaire électrique,14336,5000,PINTON Louis,Sénat,"0,3487723214",36,UMP,http://nossenateurs.fr/PINTON%20Louis/xml
ARDRES,La construction d'une passerelle et de ponts sur le site du lac,97633,7500,WATRIN Dominique,Sénat,"0,0768182889",62,CRC,http://nossenateurs.fr/WATRIN%20Dominique/xml
ARENTHON,L'aménagement de l'accès au cimetière (CD 19),622090,8000,AMOUDRY Jean-Paul,Sénat,"0,0128598756",74,UDI,http://nossenateurs.fr/AMOUDRY%20Jean-Paul/xml
ARENTHON,La réfection du mur d'enceinte du cimetière,22137,10000,CARLE Jean-Claude,Sénat,"0,4517323937",74,UMP,http://nossenateurs.fr/CARLE%20Jean-Claude/xml
ARESSY,La réfection des chemins du Bois et du Lanot,19984,9990,BAYROU François,Assemblée nationale,"0,4998999199",64,NI,http://2007.nosdeputes.fr/BAYROU%20François/xml
ARFEUILLE-CHATAIN,La réfection de chemins ruraux,17333,5000,0,Réserve ministérielle,"0,2884670859",23,,
ARGANCHY,Travaux de renforcement de chaussée et d'aménagement pluvial,66951,7000,DUPONT Jean-Léonce,Sénat,"0,1045540769",14,UDI,http://nossenateurs.fr/DUPONT%20Jean-Léonce/xml
ARGENTAT,"L'acquisition d'une fourgonnette pour le pôle ""infrastructures et cadre de vie""",25450,10000,LE MENN Jacky,Sénat,"0,3929273084",19,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
ARGENTEUIL,L'extension des locaux de la Maison pour tous,22226,5000,ASSOULINE David,Sénat,"0,2249617565",95,SOC,http://nossenateurs.fr/ASSOULINE%20David/xml
ARGENTIERES,La restauration et la conservation des fresques de l'église,93159,6000,GEOFFROY Guy,Assemblée nationale,"0,0644060155",77,UMP,http://2007.nosdeputes.fr/GEOFFROY%20Guy/xml
ARGENTON-SUR-CREUSE,L'aménagement d'un bâtiment commun au sein de la résidence sénior Rollinat,333000,10000,SAPIN Michel,Assemblée nationale,"0,03003003",36,SRC,http://2007.nosdeputes.fr/SAPIN%20Michel/xml
ARGENVIERES,"La réfection de la voie communale n°5, rue Saint-Martin (1ère tranche)",58970,3000,COSYNS Louis,Assemblée nationale,"0,0508733254",18,UMP,http://2007.nosdeputes.fr/COSYNS%20Louis/xml
ARGENVILLIERS,"La restauration des tableaux  ""Descente de croix"" et ""Vierge à l'enfant"" de l'église",13300,6650,ACCOYER Bernard,Assemblée nationale,"0,5",28,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ARGOEUVES,La construction d'un bâtiment destiné aux services techniques,63265,5000,DUBOIS Daniel,Sénat,"0,0790326405",80,UDI,http://nossenateurs.fr/DUBOIS%20Daniel/xml
ARLEBOSC,La réhabilitation de logements sociaux situés au 1er étage du bâtiment cadastré AC 68,171970,15000,HERVIAUX Odette,Sénat,"0,0872245159",7,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
ARLEMPDES,L'aménagement d'un gîte rural dans les anciens locaux de l'école de Coulombs,167178,5000,0,Réserve ministérielle,"0,0299082415",43,,
ARLES,"L'aménagement d'une salle à usage multiple au sein de la résidence Adoma, quartier de La Roquette",66890,10000,VAUZELLE Michel,Assemblée nationale,"0,1494991778",13,SRC,http://2007.nosdeputes.fr/VAUZELLE%20Michel/xml
ARLEUF,L'aménagement d'une supérette,92208,6000,CARRERE Jean-Louis,Sénat,"0,0650702759",58,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
ARLEUX,La réhabilitation de l'école François Noël,240745,10000,LETARD Valérie,Sénat,"0,0415377266",59,UDI,http://nossenateurs.fr/LETARD%20Valérie/xml
ARMAUCOURT,Le réaménagement et la mise aux normes de sécurité de l'aire de jeux,24611,8000,NACHBAR Philippe,Sénat,"0,3250579009",54,UMP,http://nossenateurs.fr/NACHBAR%20Philippe/xml
ARMENTIERES-EN-BRIE,La réhabilitation et la mise aux normes de la salle polyvalente,132250,10000,BILLOUT Michel,Sénat,"0,0756143667",77,CRC,http://nossenateurs.fr/BILLOUT%20Michel/xml
