pays,nom pap,auteur,titre,editeur,type,editeur trad,source
ALGÉRIE,Mohammed Dib,DREUX GEORGES & FESTA JEAN,Le Nouveau Guide du béton,Eyrolles,Sciences et Techniques,Chihab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DUBOIS JEAN-PIERRE,La Responsabilité administrative,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DUCHET JEAN-LOUIS,La Phonologie,PUF,Sciences Sociales et Humaines,Afaq,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DUCLOS DENIS & MEYNAUD HÉLÈNE,Les Sondages d’opinion,La Découverte/Syros,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DUFOUR ARNAUD,Internet,PUF,Sciences et Techniques,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DURAND DE BOUSINGEN ROBERT,La Relaxation,PUF,Sciences et Techniques,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,EINAUDI JEAN-LUC,La Bataille de Paris,Le Seuil,Sciences Sociales et Humaines,Media Plus,1990-2005.pdf
ALGÉRIE,Mohammed Dib,ESCARPIT ROBERT,L’Écrit et la Communication,PUF,Sciences Sociales et Humaines,Bouchène,1990-2005.pdf
ALGÉRIE,Mohammed Dib,ESCARPIT ROBERT,Sociologie de la littérature,PUF,Sciences Sociales et Humaines,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,ESTIVALS ROBERT,La Bibliologie,PUF,Sciences Sociales et Humaines,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,EVENO PATRICK & PLANCHAIS JEAN,La Guerre d’Algérie,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,FARRENY HENRI,Systèmes experts,Cépaduès,Sciences et Techniques,Berti,1990-2005.pdf
ALGÉRIE,Mohammed Dib,FELLAG,Djurdjurassique bled,J.-C. Lattès,Lettres,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,FLICHY PATRICE,Une histoire de la communication moderne,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,FORAY DOMINIQUE,L’Économie et la Connaissance,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,FORREST CHANTAL,J’étais un enfant à Babylone,Le Sorbier,Jeunesse,Enap,1990-2005.pdf
ALGÉRIE,Mohammed Dib,FOUGEREAU MICHEL,L’Immunologie,PUF,Sciences et Techniques,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,FOURASTIÉ JEAN & KOVACS ANDRÉ,La Comptabilité,PUF,Sciences et Techniques,Afaq,1990-2005.pdf
ALGÉRIE,Mohammed Dib,FOURNIOUX LIONEL,Super utilisateur MS Dos,Ellipses,Sciences et Techniques,Berti,1990-2005.pdf
ALGÉRIE,Mohammed Dib,GACEMI BAYA,"Moi, Nadia, femme d’un émir du GIA",Le Seuil,Lettres,L’Époque,1990-2005.pdf
ALGÉRIE,Mohammed Dib,GALLISSOT RENÉ,Les Accords d’Évian en conjoncture et en longue durée,Karthala,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,GERRIEN BERNARD,Dictionnaire d’analyse économique,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,GHALIOUN BURHAN,Islam et Politique. La modernité trahie,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,GHEZALI SALIMA,Les Amants de Shahrazade,L’Aube,Lettres,Marsa,1990-2005.pdf
